TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,N_heat,N_isothermal
7.594e6,0.050114783333333336,83.72991666666667,-5455.2,0.0,-4805.443333333334,1165.0933333333332,-0.23486133333333334,2336.1966666666667,2335.96,0.0004306059166666667,0.01907331666666667,0.017444449999999997,0.036517766666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.595e6,0.04997558333333333,84.08761666666666,-5455.736666666667,0.0,-4806.983333333333,1161.8566666666668,-0.23516933333333334,2341.0933333333332,2340.855,0.0004510823333333334,0.019028149999999997,0.017402033333333334,0.03643018333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.596e6,0.050050050000000006,85.58910000000002,-5455.6466666666665,0.0,-4806.246666666667,1163.5883333333334,-0.23501033333333332,2338.813333333333,2338.58,0.0007565361000000001,0.0189854,0.017389633333333335,0.03637505,6,0.05,0.05,0.05,1.0,500000,9500000
7.597e6,0.049952666666666666,84.26351666666666,-5455.998333333334,0.0,-4808.301666666666,1161.325,-0.2352888333333333,2343.138333333333,2342.9016666666666,0.0007519886666666667,0.01899575,0.017354716666666666,0.036350466666666664,6,0.05,0.05,0.05,1.0,500000,9500000
7.598e6,0.050059849999999996,84.21936666666666,-5455.753333333333,0.0,-4808.918333333334,1163.8166666666666,-0.23516766666666666,2341.3816666666667,2341.141666666667,0.0008165281666666666,0.01897901666666667,0.017318766666666666,0.03629778333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.599e6,0.04990613333333333,83.99835,-5456.09,0.0,-4809.473333333332,1160.2416666666666,-0.23543433333333333,2345.776666666666,2345.54,0.0004146103833333333,0.01900135,0.017296633333333332,0.03629795,6,0.05,0.05,0.05,1.0,500000,9500000
7.6e6,0.050005183333333335,83.89545,-5455.883333333334,0.0,-4808.558333333333,1162.5433333333333,-0.2352268333333333,2342.7233333333334,2342.4866666666667,0.00028985833333333336,0.019035,0.01731525,0.03635025,6,0.05,0.05,0.05,1.0,500000,9500000
7.601e6,0.04997501666666667,83.80343333333333,-5455.2266666666665,0.0,-4808.731666666667,1161.845,-0.23528316666666668,2343.7683333333334,2343.5350000000003,3.839208333333333e-5,0.019057833333333333,0.01724475,0.0363026,6,0.05,0.05,0.05,1.0,500000,9500000
7.602e6,0.04998946666666667,83.39011666666667,-5455.616666666666,0.0,-4809.215,1162.18,-0.2352925,2344.0316666666668,2343.795,0.00015721569999999999,0.01901066666666667,0.01731271666666667,0.0363234,6,0.05,0.05,0.05,1.0,500000,9500000
7.603e6,0.0500815,84.39775000000002,-5455.223333333333,0.0,-4807.12,1164.32,-0.23501950000000002,2339.9233333333327,2339.688333333333,0.0002186851416666667,0.019047583333333337,0.017320516666666667,0.0363681,6,0.05,0.05,0.05,1.0,500000,9500000
7.604e6,0.05003736666666667,84.03228333333333,-5455.233333333333,0.0,-4807.693333333334,1163.2933333333333,-0.23512233333333332,2341.725,2341.4900000000002,0.00034662451666666666,0.019053316666666667,0.017302083333333336,0.03635541666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.605e6,0.05005305000000001,83.75203333333333,-5456.028333333333,0.0,-4807.7,1163.6583333333335,-0.23509933333333333,2341.6266666666666,2341.393333333333,4.527600000000001e-5,0.01899643333333333,0.017427733333333334,0.03642418333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.606e6,0.05011171666666667,83.58853333333333,-5455.296666666666,0.0,-4806.641666666666,1165.0216666666668,-0.2349433333333333,2339.2833333333333,2339.0499999999997,8.055299999999999e-5,0.019076,0.01737973333333333,0.03645575,6,0.05,0.05,0.05,1.0,500000,9500000
7.607e6,0.05007655,83.75006666666667,-5456.153333333334,0.0,-4808.8966666666665,1164.205,-0.23514133333333334,2342.4133333333334,2342.18,0.00032756416666666666,0.018997600000000003,0.017357633333333334,0.03635521666666666,6,0.05,0.05,0.05,1.0,500000,9500000
